session_id,charger_id,city,connector_type,max_power_kw,location_type,start_time,end_time,energy_delivered_kwh,peak_power_kw,avg_power_kw,session_duration_min,soc_start,soc_end,month_year
652d9075-866,EVC-ANA-0092,Anand,CCS2,120,Office,2023-05-03T18:19:00,2023-05-03T20:34:00,130.1,62.66,57.82,135,25,66,2023-05
14282c19-14a,EVC-SUR-0066,Surat,CHAdeMO,3.3,Highway,2023-05-03T17:25:00,2023-05-03T20:52:00,7.37,2.43,2.14,207,33,77,2023-05
b95550cc-f80,EVC-AHM-0073,Ahmedabad,CCS2,3.3,Residential,2023-05-03T09:19:00,2023-05-03T10:28:00,2.04,1.81,1.77,69,13,49,2023-05
2b334762-fbd,EVC-BHA-0091,Bharuch,CHAdeMO,60,Residential,2023-05-03T20:48:00,2023-05-03T21:29:00,21.57,33.09,31.56,41,18,77,2023-05
ef169a2b-a68,EVC-JAM-0077,Jamnagar,CCS2,7.4,Highway,2023-05-03T14:38:00,2023-05-03T15:18:00,2.43,4.28,3.64,40,50,71,2023-05
96de2ac5-0eb,EVC-GAN-0094,Gandhinagar,Type2_AC,3.3,Residential,2023-05-03T13:48:00,2023-05-03T15:59:00,3.76,1.99,1.72,131,17,40,2023-05
db42e180-542,EVC-BHA-0010,Bhavnagar,Bharat_DC,60,Mall,2023-05-03T12:04:00,2023-05-03T12:54:00,32.92,42.98,39.5,50,42,100,2023-05
909fe247-e81,EVC-BHA-0038,Bharuch,CCS2,7.4,Office,2023-05-03T20:09:00,2023-05-04T00:05:00,26.45,7.44,6.73,236,23,66,2023-05
f9284de8-954,EVC-AHM-0013,Ahmedabad,Bharat_DC,22,Residential,2023-05-03T06:44:00,2023-05-03T09:51:00,60.4,20.93,19.38,187,28,85,2023-05
2716aa6b-a6b,EVC-BHA-0018,Bhavnagar,Bharat_DC,3.3,Office,2023-05-03T10:50:00,2023-05-03T13:59:00,8.58,2.78,2.72,189,50,100,2023-05
7a243add-85c,EVC-SUR-0052,Surat,CHAdeMO,120,Highway,2023-05-03T19:04:00,2023-05-03T22:56:00,241.33,70.02,62.41,232,43,80,2023-05
b18033d0-236,EVC-RAJ-0040,Rajkot,CCS2,3.3,Office,2023-05-03T17:17:00,2023-05-03T19:45:00,3.93,1.87,1.59,148,7,64,2023-05
90fa0eda-d7e,EVC-SUR-0085,Surat,Type2_AC,3.3,Residential,2023-05-03T17:15:00,2023-05-03T17:57:00,1.27,1.85,1.81,42,19,46,2023-05
752bbcee-e7d,EVC-RAJ-0044,Rajkot,Bharat_DC,60,Residential,2023-05-03T18:40:00,2023-05-03T20:29:00,56.99,31.62,31.37,109,47,83,2023-05
579a5236-dde,EVC-AHM-0013,Ahmedabad,Bharat_DC,22,Residential,2023-05-03T09:52:00,2023-05-03T11:21:00,26.81,21.45,18.07,89,6,45,2023-05
526f1b81-a3d,EVC-GAN-0081,Gandhinagar,Bharat_DC,150,Public,2023-05-03T17:16:00,2023-05-03T17:41:00,33.1,87.11,79.43,25,10,48,2023-05
a0e32ce3-cdf,EVC-BHA-0018,Bhavnagar,Bharat_DC,3.3,Office,2023-05-03T13:24:00,2023-05-03T17:03:00,8.2,2.5,2.25,219,47,72,2023-05
da2b99e1-e3f,EVC-MEH-0067,Mehsana,CHAdeMO,150,Public,2023-05-04T12:07:00,2023-05-04T13:52:00,176.42,114.4,100.81,105,27,68,2023-05
3b5a5be4-77e,EVC-AHM-0065,Ahmedabad,Bharat_DC,7.4,Public,2023-05-04T13:23:00,2023-05-04T13:35:00,0.64,3.65,3.21,12,28,90,2023-05
75c73cbd-150,EVC-AHM-0039,Ahmedabad,Type2_AC,3.3,Public,2023-05-04T12:37:00,2023-05-04T14:33:00,5.78,3.37,2.99,116,15,58,2023-05
ea97175d-19e,EVC-VAD-0059,Vadodara,Bharat_DC,7.4,Mall,2023-05-04T07:03:00,2023-05-04T10:22:00,17.51,6.06,5.28,199,6,75,2023-05
6febc6d2-a3e,EVC-AHM-0003,Ahmedabad,CCS2,22,Public,2023-05-04T13:25:00,2023-05-04T15:01:00,31.96,22.98,19.98,96,45,95,2023-05
f7c42ef1-e22,EVC-AHM-0053,Ahmedabad,Type2_AC,150,Public,2023-05-04T10:05:00,2023-05-04T11:17:00,83.53,82.24,69.61,72,21,91,2023-05
c6bcc445-8c3,EVC-MEH-0006,Mehsana,CCS2,120,Mall,2023-05-04T10:12:00,2023-05-04T11:24:00,120.92,103.9,100.77,72,34,64,2023-05
633fc4a4-fe9,EVC-SUR-0017,Surat,CHAdeMO,22,Mall,2023-05-04T10:28:00,2023-05-04T12:49:00,33.9,16.75,14.42,141,47,77,2023-05
303bbb99-27f,EVC-JAM-0036,Jamnagar,CHAdeMO,150,Public,2023-05-04T11:35:00,2023-05-04T12:47:00,136.63,134.38,113.86,72,29,50,2023-05
31c2cfe8-e79,EVC-VAD-0090,Vadodara,CHAdeMO,150,Highway,2023-05-04T09:54:00,2023-05-04T11:26:00,135.07,100.24,88.09,92,31,96,2023-05
f44c9297-c74,EVC-VAD-0098,Vadodara,CCS2,150,Highway,2023-05-04T07:43:00,2023-05-04T11:20:00,486.27,136.52,134.45,217,27,100,2023-05
68055007-9ee,EVC-JAM-0080,Jamnagar,CHAdeMO,120,Residential,2023-05-04T10:13:00,2023-05-04T10:48:00,40.46,80.51,69.36,35,37,100,2023-05
f35de7c1-cae,EVC-RAJ-0021,Rajkot,Type2_AC,7.4,Public,2023-05-04T20:02:00,2023-05-04T23:54:00,15.15,4.1,3.92,232,22,77,2023-05
43be6d25-43a,EVC-MEH-0082,Mehsana,CHAdeMO,60,Office,2023-05-04T18:41:00,2023-05-04T19:05:00,10.23,26.34,25.57,24,11,58,2023-05
763bdd3c-a6a,EVC-SUR-0008,Surat,Bharat_DC,120,Office,2023-05-04T11:32:00,2023-05-04T12:13:00,43.08,74.06,63.05,41,44,100,2023-05
924c0bdc-3cb,EVC-RAJ-0030,Rajkot,Bharat_DC,3.3,Public,2023-05-04T07:05:00,2023-05-04T09:32:00,7.05,3.28,2.88,147,41,77,2023-05
c87d1876-f9f,EVC-SUR-0068,Surat,CHAdeMO,60,Mall,2023-05-05T15:33:00,2023-05-05T17:44:00,108.33,58.16,49.61,131,38,97,2023-05
7752ec6f-fc7,EVC-ANA-0092,Anand,CCS2,120,Office,2023-05-05T15:30:00,2023-05-05T16:57:00,115.93,90.77,79.95,87,13,37,2023-05
8e38f838-23f,EVC-SUR-0066,Surat,CHAdeMO,3.3,Highway,2023-05-05T17:08:00,2023-05-05T18:48:00,3.95,2.72,2.37,100,43,100,2023-05
ccad2013-cd1,EVC-ANA-0063,Anand,Type2_AC,120,Highway,2023-05-05T11:06:00,2023-05-05T12:05:00,60.84,73.78,61.87,59,39,100,2023-05
8ade59ab-80a,EVC-GAN-0033,Gandhinagar,Type2_AC,7.4,Highway,2023-05-05T12:13:00,2023-05-05T12:31:00,1.04,4.0,3.47,18,18,59,2023-05
5288a814-074,EVC-RAJ-0027,Rajkot,Type2_AC,150,Highway,2023-05-05T01:04:00,2023-05-05T04:09:00,387.56,136.58,125.7,185,28,88,2023-05
077997b9-cd7,EVC-BHA-0015,Bharuch,CCS2,3.3,Office,2023-05-05T13:02:00,2023-05-05T13:21:00,0.64,2.06,2.02,19,39,67,2023-05
cf20a6f8-4d1,EVC-JAM-0043,Jamnagar,Type2_AC,60,Office,2023-05-05T13:27:00,2023-05-05T14:13:00,32.82,44.47,42.81,46,29,100,2023-05
ffccb6a3-093,EVC-VAD-0098,Vadodara,CCS2,150,Highway,2023-05-05T09:20:00,2023-05-05T12:04:00,226.04,98.92,82.7,164,32,100,2023-05
8a31962b-fb5,EVC-AHM-0053,Ahmedabad,Type2_AC,150,Public,2023-05-05T12:04:00,2023-05-05T15:12:00,222.18,75.65,70.91,188,48,78,2023-05
e8a12325-ef0,EVC-BHA-0031,Bharuch,CCS2,3.3,Highway,2023-05-05T09:22:00,2023-05-05T12:16:00,4.98,1.87,1.72,174,25,85,2023-05
adb9843f-222,EVC-BHA-0050,Bharuch,Bharat_DC,50,Highway,2023-05-05T23:38:00,2023-05-06T00:17:00,15.23,27.09,23.43,39,20,41,2023-05
312022b4-3c9,EVC-BHA-0016,Bhavnagar,CCS2,120,Office,2023-05-05T18:12:00,2023-05-05T19:30:00,116.74,92.05,89.8,78,24,98,2023-05
c7fe55d8-b66,EVC-RAJ-0072,Rajkot,CHAdeMO,7.4,Public,2023-05-05T11:30:00,2023-05-05T13:27:00,6.81,3.91,3.49,117,38,64,2023-05
1ef633d6-550,EVC-SUR-0011,Surat,Type2_AC,3.3,Residential,2023-05-05T18:59:00,2023-05-05T19:40:00,2.05,3.6,3.0,41,14,64,2023-05
d30c9ac9-993,EVC-JAM-0045,Jamnagar,Bharat_DC,120,Highway,2023-05-05T11:47:00,2023-05-05T14:01:00,182.77,84.59,81.84,134,14,67,2023-05
2ff88d73-e32,EVC-GAN-0100,Gandhinagar,Type2_AC,120,Public,2023-05-05T11:42:00,2023-05-05T14:18:00,269.6,117.24,103.69,156,13,64,2023-05
2e7aac51-eba,EVC-JUN-0034,Junagadh,Bharat_DC,7.4,Mall,2023-05-05T10:53:00,2023-05-05T12:45:00,10.0,6.0,5.35,112,44,100,2023-05
38ed5745-c23,EVC-AHM-0022,Ahmedabad,CHAdeMO,120,Highway,2023-05-05T17:14:00,2023-05-05T18:52:00,112.49,76.28,68.87,98,37,67,2023-05
4f1f69f0-d35,EVC-JAM-0078,Jamnagar,Bharat_DC,50,Highway,2023-05-05T02:25:00,2023-05-05T04:46:00,55.5,28.22,23.62,141,47,74,2023-05
f4a24970-5ef,EVC-JAM-0045,Jamnagar,Bharat_DC,120,Highway,2023-05-05T15:44:00,2023-05-05T17:36:00,97.35,54.51,52.15,112,14,86,2023-05
350adc5d-ce6,EVC-VAD-0059,Vadodara,Bharat_DC,7.4,Mall,2023-05-05T17:38:00,2023-05-05T21:19:00,19.8,5.91,5.38,221,47,100,2023-05
d8c1f835-221,EVC-RAJ-0089,Rajkot,Bharat_DC,22,Residential,2023-05-05T18:37:00,2023-05-05T21:44:00,38.83,14.88,12.46,187,29,66,2023-05
f486ffb5-b11,EVC-ANA-0042,Anand,CCS2,3.3,Public,2023-05-05T19:59:00,2023-05-05T22:49:00,6.16,2.43,2.17,170,5,69,2023-05
4a85e5a6-e03,EVC-JAM-0049,Jamnagar,Bharat_DC,60,Public,2023-05-05T18:47:00,2023-05-05T20:51:00,61.91,34.21,29.96,124,50,100,2023-05
c86f6e72-a31,EVC-SUR-0068,Surat,CHAdeMO,60,Mall,2023-05-05T17:08:00,2023-05-05T18:35:00,35.61,27.29,24.56,87,27,67,2023-05
be4142f1-3db,EVC-BHA-0010,Bhavnagar,Bharat_DC,60,Mall,2023-05-06T07:00:00,2023-05-06T08:05:00,46.44,43.46,42.86,65,14,61,2023-05
5d834bfb-0e4,EVC-BHA-0091,Bharuch,CHAdeMO,60,Residential,2023-05-06T18:44:00,2023-05-06T21:33:00,149.0,53.93,52.9,169,6,81,2023-05
2f7659ee-ac4,EVC-VAD-0098,Vadodara,CCS2,150,Highway,2023-05-06T18:58:00,2023-05-06T19:21:00,37.87,115.35,98.79,23,13,80,2023-05
b340cdad-379,EVC-RAJ-0040,Rajkot,CCS2,3.3,Office,2023-05-06T11:31:00,2023-05-06T12:07:00,1.1,2.01,1.84,36,37,80,2023-05
61d01d5a-df0,EVC-RAJ-0040,Rajkot,CCS2,3.3,Office,2023-05-06T10:43:00,2023-05-06T12:17:00,3.23,2.34,2.06,94,27,59,2023-05
bc24d200-011,EVC-JAM-0041,Jamnagar,CHAdeMO,60,Office,2023-05-06T16:14:00,2023-05-06T19:12:00,101.17,39.97,34.1,178,32,56,2023-05
52598cd7-ba2,EVC-AHM-0065,Ahmedabad,Bharat_DC,7.4,Public,2023-05-06T10:53:00,2023-05-06T13:37:00,10.59,4.29,3.87,164,13,70,2023-05
e5f267f7-a94,EVC-RAJ-0044,Rajkot,Bharat_DC,60,Residential,2023-05-06T16:37:00,2023-05-06T20:27:00,164.64,45.43,42.95,230,12,78,2023-05
e2ce694c-6f5,EVC-JAM-0049,Jamnagar,Bharat_DC,60,Public,2023-05-06T06:59:00,2023-05-06T09:12:00,65.52,31.79,29.56,133,11,69,2023-05
a70f9771-e95,EVC-GAN-0081,Gandhinagar,Bharat_DC,150,Public,2023-05-06T08:45:00,2023-05-06T11:47:00,270.6,94.94,89.21,182,43,100,2023-05
40f8103c-d93,EVC-VAD-0056,Vadodara,Bharat_DC,120,Office,2023-05-06T10:44:00,2023-05-06T12:52:00,174.6,86.07,81.84,128,7,66,2023-05
dfa538c9-754,EVC-ANA-0004,Anand,Type2_AC,50,Office,2023-05-06T09:12:00,2023-05-06T09:41:00,21.67,47.19,44.84,29,31,54,2023-05
dc01486c-406,EVC-RAJ-0030,Rajkot,Bharat_DC,3.3,Public,2023-05-06T17:50:00,2023-05-06T20:54:00,8.14,2.79,2.66,184,5,46,2023-05
fa45faf0-699,EVC-SUR-0005,Surat,CHAdeMO,120,Highway,2023-05-06T13:57:00,2023-05-06T14:35:00,59.72,107.73,94.3,38,39,83,2023-05
9357da55-f3f,EVC-MEH-0029,Mehsana,Bharat_DC,60,Office,2023-05-06T18:02:00,2023-05-06T19:21:00,32.95,27.14,25.02,79,8,87,2023-05
c81ee5a2-93e,EVC-SUR-0068,Surat,CHAdeMO,60,Mall,2023-05-06T07:51:00,2023-05-06T11:32:00,198.26,59.16,53.83,221,44,100,2023-05
b7ee0f8d-362,EVC-GAN-0047,Gandhinagar,Bharat_DC,120,Mall,2023-05-06T06:23:00,2023-05-06T09:15:00,137.7,50.25,48.03,172,47,100,2023-05
c38f5c69-a98,EVC-MEH-0070,Mehsana,Type2_AC,22,Residential,2023-05-06T16:22:00,2023-05-06T17:08:00,8.55,11.37,11.15,46,34,82,2023-05
b4391656-338,EVC-BHA-0031,Bharuch,CCS2,3.3,Highway,2023-05-06T07:54:00,2023-05-06T10:36:00,4.81,2.06,1.78,162,23,70,2023-05
d60453cd-0a2,EVC-JAM-0077,Jamnagar,CCS2,7.4,Highway,2023-05-06T10:54:00,2023-05-06T11:51:00,2.97,3.28,3.13,57,19,46,2023-05
dc76a50a-f0d,EVC-AHM-0002,Ahmedabad,CHAdeMO,60,Mall,2023-05-06T11:05:00,2023-05-06T11:57:00,30.11,37.89,34.74,52,28,98,2023-05
6059c5bc-874,EVC-SUR-0093,Surat,CHAdeMO,60,Highway,2023-05-07T12:12:00,2023-05-07T15:27:00,120.17,38.07,36.98,195,16,38,2023-05
6de1659d-adb,EVC-SUR-0085,Surat,Type2_AC,3.3,Residential,2023-05-07T07:45:00,2023-05-07T07:57:00,0.46,2.76,2.32,12,50,100,2023-05
d0fcd999-36c,EVC-SUR-0093,Surat,CHAdeMO,60,Highway,2023-05-07T08:01:00,2023-05-07T10:05:00,73.45,39.9,35.54,124,10,39,2023-05
e344ce70-d4c,EVC-BHA-0062,Bharuch,Type2_AC,7.4,Public,2023-05-07T09:16:00,2023-05-07T09:30:00,1.2,5.52,5.16,14,40,94,2023-05
82f72ce6-7d8,EVC-VAD-0076,Vadodara,Type2_AC,120,Residential,2023-05-07T10:19:00,2023-05-07T10:47:00,35.6,85.37,76.29,28,14,86,2023-05
0e8e9524-a05,EVC-AHM-0073,Ahmedabad,CCS2,3.3,Residential,2023-05-07T02:07:00,2023-05-07T04:40:00,3.76,1.75,1.47,153,19,68,2023-05
82d328d6-f6a,EVC-GAN-0071,Gandhinagar,Bharat_DC,22,Mall,2023-05-07T10:02:00,2023-05-07T10:12:00,2.69,18.32,16.14,10,13,46,2023-05
ad9802f1-d7e,EVC-VAD-0076,Vadodara,Type2_AC,120,Residential,2023-05-07T13:34:00,2023-05-07T16:59:00,215.09,64.52,62.95,205,13,52,2023-05
2c324ac2-2cc,EVC-JAM-0036,Jamnagar,CHAdeMO,150,Public,2023-05-07T17:15:00,2023-05-07T19:19:00,258.88,128.26,125.26,124,34,100,2023-05
3dc3affc-69d,EVC-BHA-0091,Bharuch,CHAdeMO,60,Residential,2023-05-07T10:41:00,2023-05-07T11:27:00,37.26,50.3,48.6,46,10,51,2023-05
6868b457-0fa,EVC-GAN-0096,Gandhinagar,CHAdeMO,120,Public,2023-05-07T05:10:00,2023-05-07T08:08:00,238.08,93.32,80.25,178,27,50,2023-05
a6fe1d61-cfb,EVC-SUR-0052,Surat,CHAdeMO,120,Highway,2023-05-07T13:00:00,2023-05-07T15:12:00,208.53,105.28,94.79,132,21,48,2023-05
ea87d3af-ecf,EVC-BHA-0062,Bharuch,Type2_AC,7.4,Public,2023-05-07T17:56:00,2023-05-07T20:51:00,12.49,4.51,4.28,175,26,75,2023-05
c33123fc-d73,EVC-RAJ-0009,Rajkot,Type2_AC,3.3,Highway,2023-05-07T09:33:00,2023-05-07T10:41:00,2.99,3.0,2.64,68,23,88,2023-05
98dd8339-412,EVC-GAN-0079,Gandhinagar,CCS2,60,Residential,2023-05-07T19:35:00,2023-05-07T21:23:00,83.6,51.72,46.44,108,27,74,2023-05
11239f6b-d0c,EVC-JAM-0045,Jamnagar,Bharat_DC,120,Highway,2023-05-07T14:11:00,2023-05-07T16:42:00,212.13,100.49,84.29,151,44,77,2023-05
0badd444-fe8,EVC-GAN-0088,Gandhinagar,CHAdeMO,150,Public,2023-05-07T06:21:00,2023-05-07T08:33:00,213.88,107.08,97.22,132,40,74,2023-05
6cec2f1e-039,EVC-MEH-0006,Mehsana,CCS2,120,Mall,2023-05-07T16:44:00,2023-05-07T19:27:00,199.29,83.83,73.36,163,42,100,2023-05
59f6aee4-134,EVC-VAD-0098,Vadodara,CCS2,150,Highway,2023-05-07T09:54:00,2023-05-07T13:07:00,253.1,85.22,78.68,193,50,74,2023-05
807c0286-180,EVC-GAN-0086,Gandhinagar,Type2_AC,150,Residential,2023-05-07T10:58:00,2023-05-07T12:56:00,230.9,121.18,117.41,118,24,46,2023-05
5469feea-b99,EVC-JAM-0036,Jamnagar,CHAdeMO,150,Public,2023-05-07T23:08:00,2023-05-08T01:40:00,300.29,121.94,118.54,152,32,91,2023-05
2b647a66-d2b,EVC-AHM-0023,Ahmedabad,CCS2,7.4,Highway,2023-05-07T20:52:00,2023-05-07T21:05:00,1.37,7.35,6.34,13,21,75,2023-05
2784f76f-748,EVC-SUR-0011,Surat,Type2_AC,3.3,Residential,2023-05-07T13:15:00,2023-05-07T15:00:00,3.6,2.16,2.06,105,15,89,2023-05
0ce77898-0a7,EVC-JUN-0020,Junagadh,Bharat_DC,22,Residential,2023-05-07T09:06:00,2023-05-07T13:05:00,35.28,10.55,8.86,239,17,75,2023-05
f704beae-63d,EVC-AHM-0026,Ahmedabad,CHAdeMO,22,Mall,2023-05-08T03:12:00,2023-05-08T07:06:00,72.07,21.18,18.48,234,8,50,2023-05
9ee4d2d7-360,EVC-SUR-0052,Surat,CHAdeMO,120,Highway,2023-05-08T07:05:00,2023-05-08T07:28:00,30.15,87.12,78.65,23,35,98,2023-05
258dd188-429,EVC-RAJ-0044,Rajkot,Bharat_DC,60,Residential,2023-05-08T18:02:00,2023-05-08T19:21:00,42.2,34.59,32.05,79,33,60,2023-05
01f4790a-c01,EVC-RAJ-0044,Rajkot,Bharat_DC,60,Residential,2023-05-08T19:03:00,2023-05-08T22:37:00,129.12,39.7,36.2,214,10,90,2023-05
e8bc4294-7d5,EVC-JAM-0078,Jamnagar,Bharat_DC,50,Highway,2023-05-08T19:48:00,2023-05-08T21:13:00,35.81,25.79,25.28,85,21,77,2023-05
9631c2f6-35a,EVC-BHA-0091,Bharuch,CHAdeMO,60,Residential,2023-05-08T10:58:00,2023-05-08T12:23:00,47.04,35.04,33.21,85,23,50,2023-05
824e7fc9-b63,EVC-GAN-0079,Gandhinagar,CCS2,60,Residential,2023-05-08T17:16:00,2023-05-08T20:31:00,123.34,43.21,37.95,195,20,73,2023-05
bc4f81db-948,EVC-AHM-0023,Ahmedabad,CCS2,7.4,Highway,2023-05-08T09:41:00,2023-05-08T11:31:00,9.5,5.76,5.18,110,17,54,2023-05
4ef18905-d1b,EVC-JAM-0055,Jamnagar,Bharat_DC,22,Highway,2023-05-08T10:25:00,2023-05-08T11:55:00,20.96,15.07,13.98,90,7,60,2023-05
bd44944f-57e,EVC-AHM-0084,Ahmedabad,Bharat_DC,22,Residential,2023-05-08T17:34:00,2023-05-08T17:52:00,2.91,11.58,9.71,18,13,41,2023-05
02a3aa2d-37c,EVC-BHA-0050,Bharuch,Bharat_DC,50,Highway,2023-05-08T18:35:00,2023-05-08T21:40:00,122.52,45.38,39.74,185,22,55,2023-05
9c8817a5-f0f,EVC-JAM-0036,Jamnagar,CHAdeMO,150,Public,2023-05-08T14:14:00,2023-05-08T17:19:00,326.77,110.7,105.98,185,22,71,2023-05
c678be08-0b7,EVC-AHM-0002,Ahmedabad,CHAdeMO,60,Mall,2023-05-08T11:00:00,2023-05-08T12:03:00,35.86,34.31,34.16,63,16,90,2023-05
159e727f-1d1,EVC-BHA-0010,Bhavnagar,Bharat_DC,60,Mall,2023-05-08T20:24:00,2023-05-08T21:05:00,18.21,29.25,26.65,41,30,55,2023-05
f2f1f2c5-cb9,EVC-MEH-0082,Mehsana,CHAdeMO,60,Office,2023-05-08T11:02:00,2023-05-08T13:29:00,74.27,33.22,30.31,147,28,69,2023-05
142d1f69-932,EVC-BHA-0057,Bhavnagar,CCS2,22,Office,2023-05-09T08:35:00,2023-05-09T11:16:00,50.86,21.12,18.95,161,10,66,2023-05
d1969bd5-5fe,EVC-RAJ-0072,Rajkot,CHAdeMO,7.4,Public,2023-05-09T07:12:00,2023-05-09T10:50:00,19.9,5.92,5.48,218,25,48,2023-05
32e76d51-65c,EVC-MEH-0082,Mehsana,CHAdeMO,60,Office,2023-05-09T00:46:00,2023-05-09T03:01:00,56.22,29.55,24.99,135,17,51,2023-05
34d7e9fd-fbc,EVC-JAM-0049,Jamnagar,Bharat_DC,60,Public,2023-05-09T15:45:00,2023-05-09T19:00:00,107.78,35.88,33.16,195,41,66,2023-05
34c5b35c-33a,EVC-GAN-0033,Gandhinagar,Type2_AC,7.4,Highway,2023-05-09T16:49:00,2023-05-09T18:36:00,9.66,5.96,5.42,107,39,82,2023-05
3216d201-616,EVC-SUR-0005,Surat,CHAdeMO,120,Highway,2023-05-09T16:49:00,2023-05-09T20:08:00,236.51,82.27,71.31,199,16,66,2023-05
8f2f47b5-cb2,EVC-AHM-0022,Ahmedabad,CHAdeMO,120,Highway,2023-05-09T06:58:00,2023-05-09T09:05:00,213.32,106.23,100.78,127,11,84,2023-05
f8d0aa06-3ae,EVC-GAN-0081,Gandhinagar,Bharat_DC,150,Public,2023-05-09T13:07:00,2023-05-09T13:34:00,39.73,104.33,88.29,27,5,72,2023-05
1579fdde-b1b,EVC-GAN-0100,Gandhinagar,Type2_AC,120,Public,2023-05-09T20:06:00,2023-05-09T20:34:00,49.25,126.37,105.53,28,41,97,2023-05
4aaae78d-aaa,EVC-SUR-0093,Surat,CHAdeMO,60,Highway,2023-05-09T19:02:00,2023-05-09T21:13:00,71.15,37.98,32.59,131,37,57,2023-05
13915ef1-7ee,EVC-ANA-0042,Anand,CCS2,3.3,Public,2023-05-09T18:15:00,2023-05-09T19:19:00,1.96,1.95,1.84,64,8,52,2023-05
ba5714fa-2e5,EVC-RAJ-0037,Rajkot,Type2_AC,22,Public,2023-05-09T12:00:00,2023-05-09T15:04:00,42.86,16.7,13.98,184,50,94,2023-05
2c78e819-d48,EVC-JAM-0041,Jamnagar,CHAdeMO,60,Office,2023-05-09T18:38:00,2023-05-09T21:40:00,127.25,48.38,41.95,182,23,45,2023-05
5c02d809-e4a,EVC-GAN-0094,Gandhinagar,Type2_AC,3.3,Residential,2023-05-10T19:22:00,2023-05-10T20:24:00,1.76,1.8,1.7,62,17,71,2023-05
9ad58623-d30,EVC-VAD-0090,Vadodara,CHAdeMO,150,Highway,2023-05-10T09:41:00,2023-05-10T11:12:00,148.7,105.48,98.05,91,9,64,2023-05
9539c962-49b,EVC-BHA-0014,Bhavnagar,CHAdeMO,120,Office,2023-05-10T16:21:00,2023-05-10T16:51:00,32.81,77.37,65.63,30,37,89,2023-05
29845e05-888,EVC-JAM-0077,Jamnagar,CCS2,7.4,Highway,2023-05-10T07:42:00,2023-05-10T10:48:00,11.46,4.07,3.7,186,12,87,2023-05
ff3e7748-65d,EVC-SUR-0011,Surat,Type2_AC,3.3,Residential,2023-05-10T15:32:00,2023-05-10T16:59:00,4.24,2.97,2.92,87,47,100,2023-05
ff563775-ab2,EVC-GAN-0086,Gandhinagar,Type2_AC,150,Residential,2023-05-10T06:17:00,2023-05-10T07:29:00,148.4,132.82,123.66,72,8,40,2023-05
ac7d8869-d0d,EVC-GAN-0071,Gandhinagar,Bharat_DC,22,Mall,2023-05-10T09:54:00,2023-05-10T13:46:00,44.15,13.35,11.42,232,30,89,2023-05
0f47406b-a52,EVC-SUR-0068,Surat,CHAdeMO,60,Mall,2023-05-10T11:35:00,2023-05-10T14:27:00,106.26,40.45,37.07,172,26,76,2023-05
e6ed99b9-f29,EVC-SUR-0005,Surat,CHAdeMO,120,Highway,2023-05-10T09:13:00,2023-05-10T11:41:00,216.46,102.67,87.76,148,20,97,2023-05
9a5018d3-8b7,EVC-MEH-0029,Mehsana,Bharat_DC,60,Office,2023-05-10T17:22:00,2023-05-10T18:35:00,45.75,44.66,37.6,73,38,81,2023-05
8a8bdd9a-6a8,EVC-SUR-0060,Surat,Bharat_DC,7.4,Office,2023-05-10T14:11:00,2023-05-10T17:50:00,20.28,6.0,5.56,219,47,76,2023-05
d29bcd42-d9e,EVC-AHM-0073,Ahmedabad,CCS2,3.3,Residential,2023-05-10T10:23:00,2023-05-10T11:55:00,2.79,2.12,1.82,92,18,56,2023-05
995a1bef-fa1,EVC-MEH-0070,Mehsana,Type2_AC,22,Residential,2023-05-10T08:40:00,2023-05-10T10:59:00,38.22,17.95,16.5,139,15,41,2023-05
45099d54-485,EVC-GAN-0088,Gandhinagar,CHAdeMO,150,Public,2023-05-10T10:15:00,2023-05-10T11:25:00,119.39,109.8,102.33,70,36,84,2023-05
b64a935e-66a,EVC-SUR-0061,Surat,Bharat_DC,60,Highway,2023-05-10T18:53:00,2023-05-10T20:03:00,43.15,44.28,36.99,70,46,100,2023-05
399032c9-c7f,EVC-JAM-0036,Jamnagar,CHAdeMO,150,Public,2023-05-10T08:46:00,2023-05-10T10:45:00,257.55,142.63,129.86,119,39,100,2023-05
5e93c499-d2a,EVC-AHM-0013,Ahmedabad,Bharat_DC,22,Residential,2023-05-10T10:32:00,2023-05-10T12:21:00,30.88,18.34,17.0,109,35,77,2023-05
83e348ed-7d2,EVC-MEH-0067,Mehsana,CHAdeMO,150,Public,2023-05-10T07:38:00,2023-05-10T11:26:00,265.14,71.11,69.77,228,26,49,2023-05
a6cd0e97-721,EVC-GAN-0047,Gandhinagar,Bharat_DC,120,Mall,2023-05-10T19:34:00,2023-05-10T20:19:00,73.5,98.8,98.01,45,22,58,2023-05
b734db5c-9fd,EVC-AHM-0002,Ahmedabad,CHAdeMO,60,Mall,2023-05-10T17:17:00,2023-05-10T18:51:00,39.19,29.7,25.01,94,8,44,2023-05
5dd02e2a-1f1,EVC-JAM-0080,Jamnagar,CHAdeMO,120,Residential,2023-05-10T08:41:00,2023-05-10T10:05:00,136.0,114.29,97.14,84,26,96,2023-05
0514856c-1c6,EVC-RAJ-0030,Rajkot,Bharat_DC,3.3,Public,2023-05-10T08:49:00,2023-05-10T12:05:00,8.23,2.54,2.52,196,15,39,2023-05
31b55c94-974,EVC-AHM-0053,Ahmedabad,Type2_AC,150,Public,2023-05-10T21:39:00,2023-05-10T22:08:00,53.39,120.32,110.47,29,24,75,2023-05
